ENTRYTYPE,ID,abstract,address,adsnote,adsurl,affiliation,an,annote,archiveprefix,article_type,author,author_keywords,bdsk-file-1,bdsk-url-1,bdsk-url-2,bibsource,biburl,booktitle,chapter,citation,copyright,da,date,date-added,date-modified,db,document_type,doi,dp,edition,editor,eid,elocation-id,eprint,et,howpublished,id,institution,isbn,issn,issue,j2,journal,journal1,journal2,keywords,l2,la,language,local-url,location,lp,m3,month,n2,note,number,numpages,organization,pages,pmid,primaryclass,pub_date,publisher,read,reviewed-author,school,series,source,tags,timestamp,title,ty,type,u1,u2,url,volume,year,year1
article,Dudai2012ARN,"Memory consolidation is the hypothetical process in which an item in memory is transformed into a long-term form. It is commonly addressed at two complementary levels of description and analysis: the cellular/synaptic level (synaptic consolidation) and the brain systems level (systems consolidation). This article focuses on selected recent advances in consolidation research, including the reconsolidation of long-term memory items, the brain mechanisms of transformation of the content and of cue-dependency of memory items over time, as well as the role of rest and sleep in consolidating and shaping memories. Taken together, the picture that emerges is of dynamic engrams that are formed, modified, and remodified over time at the systems level by using synaptic consolidation mechanisms as subroutines. This implies that, contrary to interpretations that have dominated neuroscience for a while, but similar to long-standing cognitive concepts, consolidation of at least some items in long-term memory may never really come to an end. ",,,,,,,,,"Dudai, Yadin",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2R1ZGFpMjAxMmFybi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QZHVkYWkyMDEyYXJuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAABQREYgQ0FSTwABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmR1ZGFpMjAxMmFybi5wZGYAAA4AIgAQAGQAdQBkAGEAaQAyADAAMQAyAGEAcgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1ZGFpMjAxMmFybi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-11-02 11:42:32 +0100,2020-11-02 11:42:53 +0100,,,10.1146/annurev-neuro-062111-150500,,,,,,https://doi.org/10.1146/annurev-neuro-062111-150500,,,,,,,,,Annual Review of Neuroscience,,,,,,,,,,,,,PMID: 22443508,1,,,227-247,,,,,,,,,,,,The Restless Engram: Consolidations Never End,,,,,https://doi.org/10.1146/annurev-neuro-062111-150500,35,2012,
article,Duncan2016JEPG,"Using memory to guide decisions allows past experience to improve future outcomes. However, the circumstances that modulate how and when memory influences decisions are not well understood. Here, we report that the use of memories to guide decisions depends on the context in which these decisions are made. We show that decisions made in the context of familiar images are more likely to be influenced by past events than are decisions made in the context of novel images (Experiment 1), that this bias persists even when a temporal gap is introduced between the image presentation and the decision (Experiment 2), and that contextual novelty facilitates value learning whereas familiarity facilitates the retrieval and use of previously learned values (Experiment 3). These effects are consistent with neurobiological and computational models of memory, which propose that familiar images evoke a lingering ``retrieval state'' that facilitates the recollection of other episodic memories. Together, these experiments highlight the importance of episodic memory for decision-making and provide an example of how computational and neurobiological theories can lead to new insights into how and when different types of memories guide our choices.",,,,,,,,,"Duncan, Katherine D and Shohamy, Daphna",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2R1bmNhbjIwMTZqZXBnLnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJkdW5jYW4yMDE2amVwZy5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6ZHVuY2FuMjAxNmplcGcucGRmAAAOACYAEgBkAHUAbgBjAGEAbgAyADAAMQA2AGoAZQBwAGcALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvZHVuY2FuMjAxNmplcGcucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,,,2021-01-18 13:20:05 +0100,2021-01-18 13:20:42 +0100,,,,,,,,,,,,,,,,,,Journal of Experimental Psychology: General,,,,,,,,,,,,,,11,,,1420,,,,American Psychological Association,,,,,,,,Memory states influence value-based decisions.,,,,,,145,2016,
article,Dunsmoor2015N,"Neurobiological models of long-term memory propose a mechanism by which initially weak memories are strengthened through subsequent activation that engages common neural pathways minutes to hours later1. This synaptic tag-and-capture model has been hypothesized to explain how inconsequential information is selectively consolidated following salient experiences. Behavioural evidence for tag-and-capture is provided by rodent studies in which weak early memories are strengthened by future behavioural training2,3. Whether a process of behavioural tagging occurs in humans to transform weak episodic memories into stable long-term memories is unknown. Here we show, in humans, that information is selectively consolidated if conceptually related information, putatively represented in a common neural substrate, is made salient through an emotional learning experience. Memory for neutral objects was selectively enhanced if other objects from the same category were paired with shock. Retroactive enhancements as a result of emotional learning were observed following a period of consolidation, but were not observed in an immediate memory test or for items strongly encoded before fear conditioning. These findings provide new evidence for a generalized retroactive memory enhancement, whereby inconsequential information can be retroactively credited as relevant, and therefore selectively remembered, if conceptually related information acquires salience in the future.",,,,,,,,,"Dunsmoor, Joseph E. and Murty, Vishnu P. and Davachi, Lila and Phelps, Elizabeth A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2R1bnNtb29yMjAxNW4ucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWR1bnNtb29yMjAxNW4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpkdW5zbW9vcjIwMTVuLnBkZgAOACQAEQBkAHUAbgBzAG0AbwBvAHIAMgAwADEANQBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1bnNtb29yMjAxNW4ucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,2015/04/01,,2021-01-19 10:21:53 +0100,2021-01-19 10:22:16 +0100,,,10.1038/nature14106,,,,,,,,,Dunsmoor2015,,1476-4687,,,,Nature,,,,,,,,,,,,,,7547,,,345--348,,,,,,,,,,,,Emotional learning selectively and retroactively strengthens memories for related events,JOUR,,,,https://doi.org/10.1038/nature14106,520,2015,
article,Dunsmoor2015BP,"Fear can be an adaptive emotion that helps defend against potential danger. Classical conditioning models elegantly describe how animals learn which stimuli in the environment signal danger, but understanding how this learning is generalized to other stimuli that resemble aspects of a learned threat remains a challenge. Critically, the overgeneralization of fear to harmless stimuli or situations is a burden to daily life and characteristic of posttraumatic stress disorder and other anxiety disorders. Here, we review emerging evidence on behavioral and neural mechanisms of generalization of emotional learning with the goal of encouraging further research on generalization in anxiety disorders. We begin by placing research on fear generalization in a rich historical context of stimulus generalization dating back to Pavlov, which lays the foundation for theoretical and experimental approaches used today. We then transition to contemporary behavioral and neurobiological research on generalization of emotional learning in humans and nonhuman animals and discuss the factors that promote generalization on the one hand from discrimination on the other hand.",,,,,,,,,"Dunsmoor, Joseph E. and Paz, Rony",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAcLi4vcGFwZXJzL2R1bnNtb29yMjAxNWJwLnBkZk8RAXQAAAAAAXQAAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xJkdW5zbW9vcjIwMTVicC5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIAQS86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6ZHVuc21vb3IyMDE1YnAucGRmAAAOACYAEgBkAHUAbgBzAG0AbwBvAHIAMgAwADEANQBiAHAALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgA/VXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvZHVuc21vb3IyMDE1YnAucGRmAAATAAEvAAAVAAIAD///AAAACAANABoAJABDAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAbs=,,,,,,,,,,,2021-01-19 17:32:53 +0100,2021-01-19 17:33:11 +0100,,,https://doi.org/10.1016/j.biopsych.2015.04.010,,,,,,,,,,,,0006-3223,,,Biological Psychiatry,,,"Amygdala, Anxiety, Aversive-conditioning, Discrimination, Fear, Similarity, Specificity",,,,,,,,,,Understanding PTSD: From Mind to Molecules,5,,,336 - 343,,,,,,,,,,,,Fear Generalization and Anxiety: Behavioral and Neural Mechanisms,,,,,http://www.sciencedirect.com/science/article/pii/S0006322315003182,78,2015,
article,Dupret2010NN,"The hippocampus is an important brain circuit for spatial memory and the spatially selective spiking of hippocampal neuronal assemblies is thought to provide a mnemonic representation of space. We found that remembering newly learnt goal locations required NMDA receptor--dependent stabilization and enhanced reactivation of goal-related hippocampal assemblies. During spatial learning, place-related firing patterns in the CA1, but not CA3, region of the rat hippocampus were reorganized to represent new goal locations. Such reorganization did not occur when goals were marked by visual cues. The stabilization and successful retrieval of these newly acquired CA1 representations of behaviorally relevant places was NMDAR dependent and necessary for subsequent memory retention performance. Goal-related assembly patterns associated with sharp wave/ripple network oscillations, during both learning and subsequent rest periods, predicted memory performance. Together, these results suggest that the reorganization and reactivation of assembly firing patterns in the hippocampus represent the formation and expression of new spatial memory traces.",,,,,,,,,"Dupret, David and O'Neill, Joseph and Pleydell-Bouverie, Barty and Csicsvari, Jozsef",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2R1cHJldDIwMTBubi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QZHVwcmV0MjAxMG5uLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmR1cHJldDIwMTBubi5wZGYAAA4AIgAQAGQAdQBwAHIAZQB0ADIAMAAxADAAbgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1cHJldDIwMTBubi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2019-12-27 16:49:03 +0100,2020-03-31 14:28:13 +0200,,,10.1038/nn.2599,,,,,,,,,,,,1546-1726,,,Nature Neuroscience,,,,,,,,,,,Jul,,,8,,,995--1002,,,,Springer Science and Business Media LLC,,,,,,replay; reactivation,,The reorganization and reactivation of hippocampal maps predict spatial memory performance,,,,,http://dx.doi.org/10.1038/nn.2599,13,2010,
article,Durrant2012CC,"Sleep is important for abstraction of the underlying principles (or gist) which bind together conceptually related stimuli, but little is known about the neural correlates of this process. Here, we investigate this issue using overnight sleep monitoring and functional magnetic resonance imaging (fMRI). Participants were exposed to a statistically structured sequence of auditory tones then tested immediately for recognition of short sequences which conformed to the learned statistical pattern. Subsequently, after consolidation over either 30min or 24h, they performed a delayed test session in which brain activity was monitored with fMRI. Behaviorally, there was greater improvement across 24h than across 30min, and this was predicted by the amount of slow wave sleep (SWS) obtained. Functionally, we observed weaker parahippocampal responses and stronger striatal responses after sleep. Like the behavioral result, these differences in functional response were predicted by the amount of SWS obtained. Furthermore, connectivity between striatum and parahippocampus was weaker after sleep, whereas connectivity between putamen and planum temporale was stronger. Taken together, these findings suggest that abstraction is associated with a gradual shift from the hippocampal to the striatal memory system and that this may be mediated by SWS.",,,,,,,,,"Durrant, Simon J. and Cairney, Scott A. and Lewis, Penelope A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2R1cnJhbnQyMDEyY2MucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWR1cnJhbnQyMDEyY2MucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpkdXJyYW50MjAxMmNjLnBkZgAOACQAEQBkAHUAcgByAGEAbgB0ADIAMAAxADIAYwBjAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1cnJhbnQyMDEyY2MucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2020-04-01 13:30:14 +0200,2020-04-01 13:30:35 +0200,,,10.1093/cercor/bhs244,,,,,,,,,,,,1047-3211,,,Cerebral Cortex,,,,,,,,,,,Aug,,,10,,,2467--2478,,,,Oxford University Press (OUP),,,,,,,,Overnight Consolidation Aids the Transfer of Statistical Knowledge from the Medial Temporal Lobe to the Striatum,,,,,http://dx.doi.org/10.1093/cercor/bhs244,23,2012,
article,Durrant2011N,"The importance of sleep for memory consolidation has been firmly established over the past decade. Recent work has extended this by suggesting that sleep is also critical for the integration of disparate fragments of information into a unified schema, and for the abstraction of underlying rules. The question of which aspects of sleep play a significant role in integration and abstraction is, however, currently unresolved. Here, we examined the role of sleep in abstraction of the implicit probabilistic structure in sequential stimuli using a statistical learning paradigm, and tested for its role in such abstraction by searching for a predictive relationship between the type of sleep obtained and subsequent performance improvements using polysomnography. In our experiments, participants were exposed to a series of tones in a probabilistically determined sequential structure, and subsequently tested for recognition of novel short sequences adhering to this same statistical pattern in both immediate- and delayed-recall sessions. Participants who consolidated over a night of sleep improved significantly more than those who consolidated over an equivalent period of daytime wakefulness. Similarly, participants who consolidated across a 4-h afternoon delay containing a nap improved significantly more than those who consolidated across an equivalent period without a nap. Importantly, polysomnography revealed a significant correlation between the level of improvement and the amount of slow-wave sleep obtained. We also found evidence of a time-based consolidation process which operates alongside sleep-specific consolidation. These results demonstrate that abstraction of statistical patterns benefits from sleep, and provide the first clear support for the role of slow-wave sleep in this consolidation.",,,,,,,,,"Durrant, Simon J. and Taylor, Charlotte and Cairney, Scott and Lewis, Penelope A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2R1cnJhbnQyMDExbi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QZHVycmFudDIwMTFuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmR1cnJhbnQyMDExbi5wZGYAAA4AIgAQAGQAdQByAHIAYQBuAHQAMgAwADEAMQBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1cnJhbnQyMDExbi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-04-15 13:02:28 +0200,2020-04-15 13:03:39 +0200,,,10.1016/j.neuropsychologia.2011.02.015,,,,,,,,,,,,0028-3932,,,Neuropsychologia,,,,,,,,,,,Apr,,,5,,,1322--1331,,,,Elsevier BV,,,,,,,,Sleep-dependent consolidation of statistical learning,,,,,http://dx.doi.org/10.1016/j.neuropsychologia.2011.02.015,49,2011,
article,Durstewitz2010N,"One of the most intriguing aspects of adaptive behavior involves the inference of regularities and rules in ever-changing environments. Rules are often deduced through evidence-based learning which relies on the prefrontal cortex (PFC). This is a highly dynamic process, evolving trial by trial and therefore may not be adequately captured by averaging single-unit responses over numerous repetitions. Here, we employed advanced statistical techniques to visualize the trajectories of ensembles of simultaneously recorded medial PFC neurons on a trial-by-trial basis as rats deduced a novel rule in a set-shifting task. Neural populations formed clearly distinct and lasting representations of familiar and novel rules by entering unique network states. During rule acquisition, the recorded ensembles often exhibited abrupt transitions, rather than evolving continuously, in tight temporal relation to behavioral performance shifts. These results support the idea that rule learning is an evidence-based decision process, perhaps accompanied by moments of sudden insight.",,,,,,,,,"Durstewitz, Daniel and Vittoz, Nicole M. and Floresco, Stan B. and Seamans, Jeremy K.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAdLi4vcGFwZXJzL2R1cnN0ZXdpdHoyMDEwbi5wZGZPEQF2AAAAAAF2AAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8TZHVyc3Rld2l0ejIwMTBuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEIvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmR1cnN0ZXdpdHoyMDEwbi5wZGYADgAoABMAZAB1AHIAcwB0AGUAdwBpAHQAegAyADAAMQAwAG4ALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgBAVXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvZHVyc3Rld2l0ejIwMTBuLnBkZgATAAEvAAAVAAIAD///AAAACAANABoAJABEAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAb4=,,,,,,,,,,,2020-12-14 09:19:30 +0100,2020-12-14 09:19:53 +0100,,,https://doi.org/10.1016/j.neuron.2010.03.029,,,,,,,,,,,,0896-6273,,,Neuron,,,SYSNEURO,,,,,,,,,,,3,,,438 - 448,,,,,,,,,,,,Abrupt Transitions between Prefrontal Neural Ensemble States Accompany Behavioral Transitions during Rule Learning,,,,,http://www.sciencedirect.com/science/article/pii/S0896627310002321,66,2010,
article,Dusek1997PNAS,"Human declarative memory involves a systematic organization of information that supports generalizations and inferences from acquired knowledge. This kind of memory depends on the hippocampal region in humans, but the extent to which animals also have declarative memory, and whether inferential expression of memory depends on the hippocampus in animals, remains a major challenge in cognitive neuroscience. To examine these issues, we used a test of transitive inference pioneered by Piaget to assess capacities for systematic organization of knowledge and logical inference in children. In our adaptation of the test, rats were trained on a set of four overlapping odor discrimination problems that could be encoded either separately or as a single representation of orderly relations among the odor stimuli. Normal rats learned the problems and demonstrated the relational memory organization through appropriate transitive inferences about items not presented together during training. By contrast, after disconnection of the hippocampus from either its cortical or subcortical pathway, rats succeeded in acquiring the separate discrimination problems but did not demonstrate transitive inference, indicating that they had failed to develop or could not inferentially express the orderly organization of the stimulus elements. These findings strongly support the view that the hippocampus mediates a general declarative memory capacity in animals, as it does in humans.",,,,,,,,,"Dusek, J. A. and Eichenbaum, H.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2R1c2VrMTk5N3BuYXMucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWR1c2VrMTk5N3BuYXMucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpkdXNlazE5OTdwbmFzLnBkZgAOACQAEQBkAHUAcwBlAGsAMQA5ADkANwBwAG4AYQBzAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1c2VrMTk5N3BuYXMucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2019-11-01 15:00:36 +0100,2020-03-31 14:28:13 +0200,,,10.1073/pnas.94.13.7109,,,,,,,,,,,,1091-6490,,,Proceedings of the National Academy of Sciences,,,,,,,,,,,Jun,,,13,,,7109--7114,,,,Proceedings of the National Academy of Sciences,,,,,,,,The hippocampus and memory for orderly stimulus relations,,,,,http://dx.doi.org/10.1073/PNAS.94.13.7109,94,1997,
article,Duvelle2019JN,"Hippocampal place cells show position-specific activity, thought to reflect a self-localization signal. Several reports also point to some form of goal encoding by place cells. We investigated this by asking whether they also encode the value of spatial goals, which is a crucial information for optimizing goal-directed navigation. We used a continuous place navigation task in which male rats navigate to one of two (freely chosen) unmarked locations and wait, triggering the release of reward which is then located and consumed elsewhere. This allows sampling of place fields, and dissociates spatial goal from reward consumption. The two goals varied in the amount of reward provided, allowing assessment of whether the rats factored goal value into their navigational choice, and of possible neural correlates of this value.Rats successfully learned the task, indicating goal localization, and they preferred higher-value goals, indicating processing of goal value. Replicating previous findings, there was goal-related activity in the out-of-field firing of CA1 place cells, with a ramping-up of firing rate during the waiting period, but no general over-representation of goals by place fields, an observation that we extended to CA3 place cells. Importantly, place cells were not modulated by goal value. This suggests that dorsal hippocampal place cells encode space independently of its associated value, despite the effect of that value on spatial behavior. Our findings are consistent with a model of place cells in which they provide a spontaneously constructed value-free spatial representation, rather than encoding other navigationally relevant, but non-spatial, information.SIGNIFICANCE STATEMENTWe investigated whether hippocampal place cells, which compute a self-localization signal, also encode the relative value of places, which is essential information for optimal navigation. When choosing between two spatial goals of different value, rats preferred the higher-value goal. We saw out-of-field goal firing in place cells, replicating previous observations that the cells are influenced by the goal, but their activity was not modulated by the value of these goals. Our results suggest that place cells do not encode all of the navigationally relevant aspects of a place, but instead form a value-free {\textquotedblleft}map{\textquotedblright} that links to such aspects in other parts of the brain.",,,,,,,,,"Duvelle, {\'E}l{\'e}onore and Grieves, Roddy M. and Hok, Vincent and Poucet, Bruno and Arleo, Angelo and Jeffery, Kate and Save, Etienne",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2R1dmVsbGUyMDE5am4ucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWR1dmVsbGUyMDE5am4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczpkdXZlbGxlMjAxOWpuLnBkZgAOACQAEQBkAHUAdgBlAGwAbABlADIAMAAxADkAagBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2R1dmVsbGUyMDE5am4ucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2020-12-14 16:52:24 +0100,2020-12-14 16:52:42 +0100,,,10.1523/JNEUROSCI.1578-18.2018,,,,,1578-18,https://www.jneurosci.org/content/early/2019/01/25/JNEUROSCI.1578-18.2018.full.pdf,,,,,,0270-6474,,,Journal of Neuroscience,,,,,,,,,,,,,,,,,,,,,Society for Neuroscience,,,,,,,,Insensitivity of place cells to the value of spatial goals in a two-choice flexible navigation task,,,,,https://www.jneurosci.org/content/early/2019/01/25/JNEUROSCI.1578-18.2018,,2019,
